School Short Name,School ID,Website URL
CLARK ES,609795,http://georgerogersclarkes.org/
CLARK HS,610244,http://www.micheleclark.org
CLAY,609856,http://www.henryclayschool.com
CLEMENTE HS,609759,http://www.rccachicago.org
CLEVELAND,609857,http://www.clevelandschool.org
CLINTON,609859,http://www.clinton.cps.edu
CLISSOLD,609861,http://www.clissold-school.org
COLEMON,610199,
COLES,609862,http://www.colesacademy.com
COLLINS HS,610499,http://auslchicago.org/schools/pages/collins
COLUMBIA EXPLORERS,610170,http://www.columbiaea.cps.k12.il.us
COLUMBUS,609863,
COMMUNITY SERVICES WEST HS,400038,http://www.cswcareeracademy.com
COOK,609864,
COONLEY,609866,http://coonley.cps.edu
COOPER,609867,http://cooper.cps.edu
CORKERY,609870,http://www.corkery.cps.edu
CORLISS HS,609761,http://www.newcorlisshs.org
COURTENAY,610355,http://courtenay.cps.edu
CRANE MEDICAL HS,610561,http://www.newcranemedicalprep.org
CROWN,609873,
CUFFE,610003,
CULLEN,610004,
CURIE HS,609756,http://www.curiehs.org
CURTIS,609900,http://auslchicago.org/schools/pages/curtis
DALEY,610239,http://rjdaley.org
DARWIN,609875,http://www.darwinelementary.com
DAVIS M,610521,http://www.milesdavismagnet.org
DAVIS N,609876,
DAWES,609879,http://www.dawes.cps.edu
DE DIEGO,610313,
DECATUR,609880,http://www.decaturclassical.org
DENEEN,609883,http://deneen.auslchicago.org
DEPRIEST,610367,http://www.depriestschool.org
DETT,610252,http://dett.cps.edu
DEVER,609884,http://deverelementary.org/
DEVRY HS,610402,http://www.devry.cps.edu
DEWEY,609885,http://dewey.auslchicago.org
DIRKSEN,609874,http://www.dirksen.cps.edu
DISNEY,610363,http://www.disney.cps.edu
DISNEY II ES,610515,http://www.disneyiimagnet.org
DISNEY II HS,610564,http://disneyiimagnet.org
DIXON,609887,http://www.dixon.cps.edu
DODGE,609888,http://auslchicago.org/schools/pages/dodge
DOOLITTLE,609891,http://jrdacademy.cps.edu
DORE,609893,http://www.dorebulldogschicago.org
DOUGLASS HS,610245,http://www.douglassacademy.org
DRAKE,609894,http://www.drake.cps.edu
DRUMMOND,609896,http://www.drummondschool.org
DUBOIS,610364,http://www.dubois.cps.edu
DULLES,610263,http://auslchicago.org/schools/pages/dulles
DUNBAR HS,609676,http://dunbar.cps.edu
DUNNE,610188,
DURKIN PARK,610352,http://durkinpark.com/
DVORAK,610254,http://auslchicago.org/schools/pages/dvorak
EARHART,610316,http://www.earhart.cps.edu
EARLE,609897,http://earlestemelementary.org/
EBERHART,609898,http://www.eberhartelem.org
EBINGER,609899,http://ebingerschool.org
EDGEBROOK,609901,http://www.edgebrookschool.org/
EDISON,609794,http://www.edisongifted.net/
EDISON PARK,610523,http://www.edisonparkelementary.net
EDWARDS,609903,http://edwardsib.org/
ELLINGTON,609904,http://ellingtoncps.weebly.com
EPIC HS,400094,http://www.epicacademy.org
ERICSON,609907,http://www.ericson.cps.k12.il.us
ERIE,400039,http://www.eriecharterschool.org
ESMOND,609908,http://www.esmond.cps.edu
EVERETT,609909,
EVERGREEN,610319,http://www.evergreenacademyms.com
EVERS,610362,http://www.evers.cps.edu
FAIRFIELD,610057,http://fairfieldacademy.org/
FALCONER,609910,http://www.falconerelementary.com
FARADAY,610055,http://faradayelementary.org/
FARNSWORTH,609912,http://www.farnsworthschool.com
FARRAGUT HS,609704,http://www.farragutcareeracademy.org
FENGER HS,609705,http://www.fengerhighschool.org
FERNWOOD,609917,
FIELD,609918,http://www.eugenefield.org
FINKL,609967,http://www.finkl.cps.edu
FISKE,609919,http://fiskeelementary.org/
FOREMAN HS,609708,http://www.foremanhs.org
FORT DEARBORN,609924,http://fortdearbornelementary.org
FOSTER PARK,609927,http://fosterpark.cps.edu/
FOUNDATIONS,400171,http://foundationscollegeprep.org
FRANKLIN,609926,http://www.franklinfineartscenter.org
FRAZIER CHARTER,400040,http://www.frazierprepacademy.org
FRAZIER PROSPECTIVE,610503,http://fraziermagnet.org/pages/Frazier_International_Magnet
FULLER,609928,http://fuller.auslchicago.org
FULTON,609929,http://www.fultones.org
FUNSTON,609930,http://funston.cps.edu
GAGE PARK HS,609709,http://www.gageparkhs.org
GALAPAGOS,400041,http://www.GalapagosCharter.org
GALE,609933,http://www.galemathscience.org
GALILEO,610009,http://www.galileoscholasticacademy.org
GALLISTEL,609935,http://gallistel.cps.edu/
GARVEY,610128,http://marcusgarveyschoolchicago.weebly.com/
GARVY,609937,http://www.garvyschool.org
GARY,609938,http://www.gary.cps.edu
GILLESPIE,609939,http://gillespietech.org
GLOBAL CITIZENSHIP,400009,http://www.agcchicago.org
GOETHE,609942,http://www.goethe.cps.edu
GOODE HS,610558,http://GoodeSTEMAcademy.org
GOUDY,609945,http://www.goudy.cps.edu
GRAHAM ES,609947,http://www.grahames.org
GRAHAM HS,609769,http://www.raygrahamtrainingcenterhs.com/
GRAY,609949,http://williampgrayschool.schoolfusion.us/
GREAT LAKES,400168,http://www.glachicago.org/
GREELEY,609850,http://www.greeleyelementary.net
GREEN,610032,http://www.wendellgreenschool.net
GREENE,609952,http://ngreeneschool.com/
GREGORY,609954,http://www.gregoryacademy.org
GRESHAM,609955,http://Greshamschool.org
GRIMES,609956,http://grimesfleming.com
GRISSOM,609944,http://www.grissom.cps.k12.il.us
GUNSAULUS,609958,http://gunsaulus.org/
HAINES,609959,http://www.haines.cps.edu
HALE,609960,http://haleschool.org/
HALEY,609808,http://www.alexhaleyacademy.com
HAMILTON,609963,http://www.hamiltoncps.org
HAMLINE,609964,http://hamline.cps.edu
HAMMOND,609966,http://www.hammond.cps.edu
HAMPTON,609807,http://hampton.cps.edu
HANCOCK HS,609694,http://www.hancockhs.org
HANSON PARK,610068,http://hanson.cps.edu
HARLAN HS,609710,http://www.harlanfalcons.org
HARPER HS,609711,http://www.harperhighschool.org
HARTE,609969,http://www.harte.cps.edu
HARVARD,609971,http://harvard.auslchicago.org
HAUGAN,609972,http://www.haugan.cps.edu
