Early College Credit and Career Certification (ECCC) SY2015 Metric,,,"The Early College Credit and Career Certification (ECCC) metric used in SQRP measures the percent of students graduating in the most recent year who have earned at least one credit from an approved early college course, a 3+ on an AP exam, a 4+ on an IB exam, or an approved career certification. This metric measures the extent to which students are offered the opportunity to pursue early college credit and career certifications during their high school career.                                                                                                                                                                                          ",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
School ID,School Name,Network,Graduates,Students Earning ECCC,,Dual Credit,,Dual Enrollment,,AP Exam,,IB Exam,,CTE,,JROTC,
,,,Number,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent
609764,JUAREZ HS,OS4,332,155,46.7,77,23.2,4,1.2,63,19.0,0,0.0,69,20.8,2,0.6
609766,VAUGHN HS,Network 1,36,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
609768,HOPE HS,Network 11,69,2,2.9,0,0.0,2,2.9,0,0.0,0,0.0,0,0.0,0,0.0
609769,"GRAHAM,R HS",Network 6,27,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
609780,MARINE AMES HS,Service Leadership Academies,52,46,88.5,35,67.3,2,3.8,8,15.4,0,0.0,1,1.9,41,78.8
609783,JEFFERSON ALT HS,Options,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*
610244,CLARK HS,Network 3,102,1,1.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0
610245,DOUGLASS HS,Network 3,58,15,25.9,0,0.0,0,0.0,12,20.7,0,0.0,0,0.0,4,6.9
610304,PHOENIX MILITARY HS,Service Leadership Academies,93,80,86.0,0,0.0,5,5.4,63,67.7,0,0.0,5,5.4,60,64.5
610323,BOWEN HS,OS4,81,25,30.9,13,16.0,2,2.5,6,7.4,0,0.0,0,0.0,10,12.3
610334,RABY HS,OS4,90,11,12.2,11,12.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
610340,CHGO ACAD HS,AUSL,104,44,42.3,0,0.0,34,32.7,18,17.3,0,0.0,0,0.0,0,0.0
610357,SPRY HS,Network 7,32,23,71.9,11,34.4,2,6.3,19,59.4,0,0.0,0,0.0,0,0.0
610380,"WILLIAMS, D",Network 9,79,17,21.5,10,12.7,4,5.1,5,6.3,0,0.0,1,1.3,0,0.0
610381,BRONZEVILLE HS,OS4,110,6,5.5,4,3.6,0,0.0,1,0.9,0,0.0,2,1.8,0,0.0
610383,GREATER LAWNDALE HS,Network 7,74,32,43.2,0,0.0,0,0.0,32,43.2,0,0.0,0,0.0,0,0.0
610384,INFINITY HS,Network 7,94,56,59.6,34,36.2,2,2.1,44,46.8,0,0.0,0,0.0,0,0.0
610385,MULTICULTURAL ACAD SCHOLARSHIP,Network 7,61,1,1.6,0,0.0,1,1.6,1,1.6,0,0.0,0,0.0,0,0.0
610386,PEACE & EDUCATION HS,Options,62,4,6.5,0,0.0,0,0.0,3,4.8,0,0.0,1,1.6,0,0.0
610389,ORR HS,AUSL,75,8,10.7,0,0.0,7,9.3,0,0.0,0,0.0,1,1.3,0,0.0
610390,RICKOVER HS,Service Leadership Academies,89,82,92.1,19,21.3,1,1.1,33,37.1,0,0.0,8,9.0,78,87.6
610391,LINDBLOM HS,Network 11,181,111,61.3,0,0.0,21,11.6,94,51.9,0,0.0,2,1.1,21,11.6
610392,WORLD LANGUAGE HS,Network 7,64,29,45.3,11,17.2,0,0.0,26,40.6,0,0.0,0,0.0,0,0.0
610394,UPLIFT HS,Network 2,81,6,7.4,0,0.0,1,1.2,6,7.4,0,0.0,0,0.0,0,0.0
610402,DEVRY HS,Network 4,95,95,100.0,95,100.0,93,97.9,28,29.5,0,0.0,1,1.1,0,0.0
610495,DUAL ENR OSS SCHOOLS,,4,*,*,*,*,*,*,*,*,*,*,*,*,*,*
610497,CITYWIDE OSS SCHOOLS,,31,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
610499,COLLINS HS,AUSL,48,10,20.8,0,0.0,10,20.8,0,0.0,0,0.0,0,0.0,0,0.0
610501,AUSTIN POLY HS,Network 3,24,2,8.3,0,0.0,0,0.0,0,0.0,0,0.0,2,8.3,0,0.0
610506,TEAM HS,Network 11,72,7,9.7,0,0.0,6,8.3,0,0.0,0,0.0,0,0.0,2,2.8
610513,AIR FORCE HS,Service Leadership Academies,91,82,90.1,0,0.0,3,3.3,5,5.5,0,0.0,1,1.1,82,90.1
