BOGAN HS|3939 W 79th St Chicago, IL 60652
CHRISTOPHER HOUSE|5235 W Belden Ave Chicago, IL 60639
CHICAGO VOCATIONAL HS|2100 E 87th St Chicago, IL 60617
SIMPSON HS|1321 S Paulina St Chicago, IL 60608
REAVIS|834 E 50th St Chicago, IL 60615
WALSH|2015 S Peoria St Chicago, IL 60608
U OF C - WOODSON|4444 S Evans Ave Chicago, IL 60653
UNO - CISNEROS|2744 W Pershing Rd Chicago, IL 60632
MCDADE|8801 S Indiana Ave Chicago, IL 60619
HUGHES C|4247 W 15th St Chicago, IL 60623
YCCS - ASPIRA PANTOJA|3121 N Pulaski Rd Chicago, IL 60641
WEST RIDGE|6700 N Whipple St Chicago, IL 60645
CORKERY|2510 S Kildare Ave Chicago, IL 60623
WHITE|1136 W 122nd St Chicago, IL 60643
KANOON|2233 S Kedzie Ave Chicago, IL 60623
LEARN - 7|3021 W Carroll Ave Chicago, IL 60612
VON STEUBEN HS|5039 N Kimball Ave Chicago, IL 60625
CAMELOT SAFE HS|7877 S Coles Ave Chicago, IL 60649
JAHN|3149 N Wolcott Ave Chicago, IL 60657
CURIE HS|4959 S Archer Ave Chicago, IL 60632
DUBOIS|330 E 133rd St Chicago, IL 60827
PROSSER HS|2148 N Long Ave Chicago, IL 60639
DIXON|8306 S Saint Lawrence Ave Chicago, IL 60619
PEREZ|1241 W 19th St Chicago, IL 60608
RUGGLES|7831 S Prairie Ave Chicago, IL 60619
UNO - MARQUEZ|2916 W 47th St Chicago, IL 60632
ESMOND|1865 W Montvale Ave Chicago, IL 60643
KELLMAN|3030 W Arthington St Chicago, IL 60612
ALBANY PARK|4929 N Sawyer Ave Chicago, IL 60625
TALCOTT|1840 W Ohio St Chicago, IL 60622
UNO - PAZ|2651 W 23rd St Chicago, IL 60608
PERSPECTIVES - JOSLIN HS|1930 S Archer Ave Chicago, IL 60616
FARADAY|3250 W Monroe St Chicago, IL 60624
PORTAGE PARK|5330 W Berteau Ave Chicago, IL 60641
CHICAGO AGRICULTURE HS|3857 W 111th St Chicago, IL 60655
THOMAS|3625 S Hoyne Ave Chicago, IL 60609
EVERGREEN|3537 S Paulina St Chicago, IL 60609
SHOESMITH|1330 E 50th St Chicago, IL 60615
PULASKI|2230 W McLean Ave Chicago, IL 60647
BELDING|4257 N Tripp Ave Chicago, IL 60641
SOUTH SHORE INTL HS|1955 E 75th St Chicago, IL 60649
REVERE|1010 E 72nd St Chicago, IL 60619
MOLLISON|4415 S Dr Martin L King Jr Dr Chicago, IL 60653
BARRY|2828 N Kilbourn Ave Chicago, IL 60641
CICS - LOOMIS|9535 S Loomis St Chicago, IL 60643
MCCUTCHEON|4865 N Sheridan Rd Chicago, IL 60640
NEIL|8555 S Michigan Ave Chicago, IL 60619
SIMEON HS|8147 S Vincennes Ave Chicago, IL 60620
MULTICULTURAL HS|3120 S Kostner Ave Chicago, IL 60623
NORTHSIDE LEARNING HS|3730 W Bryn Mawr Ave Chicago, IL 60659
PATHWAYS IN EDUCATION - LINCOLN SQ HS|4820 N Western Ave Chicago, IL 60625
EDGEBROOK|6525 N Hiawatha Ave Chicago, IL 60646
MIRELES|9000 S Exchange Ave Chicago, IL 60617
INTER-AMERICAN|851 W Waveland Ave Chicago, IL 60613
CAMELOT - EXCEL ENGLEWOOD HS|7141 S Morgan Chicago, IL 60621
SAUCEDO|2850 W 24th Blvd Chicago, IL 60623
KELLER|3020 W 108th St Chicago, IL 60655
YCCS - LATINO YOUTH|2001 S California Ave Chicago, IL 60608
MONROE|3651 W Schubert Ave Chicago, IL 60647
VAUGHN HS|4355 N Linder Ave Chicago, IL 60641
HENRY|4250 N Saint Louis Ave Chicago, IL 60618
BEARD|6445 W Strong St Chicago, IL 60656
CLINTON|6110 N Fairfield Ave Chicago, IL 60659
BYRNE|5329 S Oak Park Ave Chicago, IL 60638
CHAVEZ|4747 S Marshfield Ave Chicago, IL 60609
NETTELHORST|3252 N Broadway St Chicago, IL 60657
HOLMES|955 W Garfield Blvd Chicago, IL 60621
ASHBURN|8300 S St Louis Ave Chicago, IL 60652
ORTIZ DE DOMINGUEZ|3000 S Lawndale Ave Chicago, IL 60623
STEM|1522 W Fillmore St Chicago, IL 60607
GILLESPIE|9301 S State St Chicago, IL 60619
SHIELDS|4250 S Rockwell St Chicago, IL 60632
OTIS|525 N Armour St Chicago, IL 60642
COLEMON|1441 W 119th St Chicago, IL 60643
UNO - SANTIAGO|2510 W Cortez St Chicago, IL 60622
HENDRICKS|4316 S Princeton Ave Chicago, IL 60609
BROWN W|54 N Hermitage Ave Chicago, IL 60612
TEAM HS|6201 S Stewart Ave Chicago, IL 60621
AMANDLA|6800 S Stewart Ave Chicago, IL 60621
JACKSON A|1340 W Harrison St Chicago, IL 60607
FRANKLIN|225 W Evergreen Ave Chicago, IL 60610
JOPLIN|7931 S Honore St Chicago, IL 60620
VON LINNE|3221 N Sacramento Ave Chicago, IL 60618
HARTE|1556 E 56th St Chicago, IL 60637
GRIMES|5450 W 64th Pl Chicago, IL 60638
CLARK ES|1045 S Monitor Ave Chicago, IL 60644
MARINE MILITARY HS|145 S Campbell Ave Chicago, IL 60612
AHS - PASSAGES|1643 W Bryn Mawr Ave Chicago, IL 60660
GARY|3740 W 31st St Chicago, IL 60623
ALCOTT ES|2625 N Orchard St Chicago, IL 60614-157
GAGE PARK HS|5630 S Rockwell St Chicago, IL 60629
FUNSTON|2010 N Central Park Ave Chicago, IL 60647
PENN|1616 S Avers Ave Chicago, IL 60623
KING ES|644 W 71st St Chicago, IL 60621
BROWNELL|6741 S Michigan Ave Chicago, IL 60637
